gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,average_score,highest_score,lowest_score,score_gap,score_std,strongest_subject,weakest_subject,performance_level,consistency,at_risk,performance_profile
female,group B,bachelor's degree,standard,none,72,72,74,72.66666666666667,74,72,2,1.1547005383792517,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group C,some college,standard,completed,69,90,88,82.33333333333333,90,69,21,11.590225767142474,Reading,Mathematics,Excellent,Moderately Consistent,Not At Risk,Language-Oriented
female,group B,master's degree,standard,none,90,95,93,92.66666666666667,95,90,5,2.516611478423583,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group A,associate's degree,free/reduced,none,47,57,44,49.333333333333336,57,44,13,6.8068592855540455,Reading,Writing,Poor,Consistent,At Risk,At-Risk Performer
male,group C,some college,standard,none,76,78,75,76.33333333333333,78,75,3,1.5275252316519468,Reading,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group B,associate's degree,standard,none,71,83,78,77.33333333333333,83,71,12,6.027713773341708,Reading,Mathematics,Good,Consistent,Not At Risk,Balanced High Performer
female,group B,some college,standard,completed,88,95,92,91.66666666666667,95,88,7,3.511884584284246,Reading,Mathematics,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
male,group B,some college,free/reduced,none,40,43,39,40.666666666666664,43,39,4,2.0816659994661326,Reading,Writing,Poor,Highly Consistent,At Risk,At-Risk Performer
male,group D,high school,free/reduced,completed,64,64,67,65.0,67,64,3,1.7320508075688772,Writing,Mathematics,Average,Highly Consistent,Not At Risk,Developing Performer
female,group B,high school,free/reduced,none,38,60,50,49.333333333333336,60,38,22,11.015141094572204,Reading,Mathematics,Poor,Moderately Consistent,At Risk,At-Risk Performer
male,group C,associate's degree,standard,none,58,54,52,54.666666666666664,58,52,6,3.055050463303893,Mathematics,Writing,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,associate's degree,standard,none,40,52,43,45.0,52,40,12,6.244997998398398,Reading,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
female,group B,high school,standard,none,65,81,73,73.0,81,65,16,8.0,Reading,Mathematics,Good,Consistent,Not At Risk,Developing Performer
male,group A,some college,standard,completed,78,72,70,73.33333333333333,78,70,8,4.163331998932265,Mathematics,Writing,Good,Highly Consistent,Not At Risk,Balanced High Performer
female,group A,master's degree,standard,none,50,53,58,53.666666666666664,58,50,8,4.041451884327381,Writing,Mathematics,Below Average,Highly Consistent,Not At Risk,Developing Performer
female,group C,some high school,standard,none,69,75,78,74.0,78,69,9,4.58257569495584,Writing,Mathematics,Good,Highly Consistent,Not At Risk,Developing Performer
male,group C,high school,standard,none,88,89,86,87.66666666666667,89,86,3,1.5275252316519468,Reading,Writing,Excellent,Highly Consistent,Not At Risk,Balanced High Performer
female,group B,some high school,free/reduced,none,18,32,28,26.0,32,18,14,7.211102550927978,Reading,Mathematics,Poor,Consistent,At Risk,At-Risk Performer
male,group C,master's degree,free/reduced,completed,46,42,46,44.666666666666664,46,42,4,2.309401076758503,Mathematics,Reading,Poor,Highly Consistent,At Risk,At-Risk Performer
female,group C,associate's degree,free/reduced,none,54,58,61,57.666666666666664,61,54,7,3.511884584284246,Writing,Mathematics,Below Average,Highly Consistent,Not At Risk,Developing Performer
male,group D,high school,standard,none,66,69,63,66.0,69,63,6,3.0,Reading,Writing,Average,Highly Consistent,Not At Risk,Developing Performer
