gender,race/ethnicity,parental level of education,lunch,test preparation course,predicted_math_score,predicted_reading_score,predicted_writing_score,predicted_average_score,predicted_performance
female,group C,associate's degree,standard,none,72.8716390887167,72.8716390887167,72.8716390887167,72.8716390887167,Good
female,group B,some college,free/reduced,completed,71.70282239797967,71.70282239797967,71.70282239797967,71.70282239797967,Good
male,group D,bachelor's degree,standard,none,71.21737414081943,71.21737414081943,71.21737414081943,71.21737414081943,Good
male,group C,some college,free/reduced,none,53.681086107958215,53.681086107958215,53.681086107958215,53.681086107958215,Below Average
male,group E,some college,standard,completed,75.34306139026408,75.34306139026408,75.34306139026408,75.34306139026408,Good
male,group D,associate's degree,free/reduced,none,58.297343855952846,58.297343855952846,58.297343855952846,58.297343855952846,Below Average
male,group B,associate's degree,free/reduced,completed,63.494802584509685,63.494802584509685,63.494802584509685,63.49480258450969,Average
female,group B,some high school,standard,completed,77.37463215532351,77.37463215532351,77.37463215532351,77.37463215532351,Good
male,group C,associate's degree,free/reduced,none,54.85563169799699,54.85563169799699,54.85563169799699,54.85563169799699,Below Average
male,group B,some high school,standard,completed,67.99206675181475,67.99206675181475,67.99206675181475,67.99206675181475,Average
male,group A,high school,free/reduced,none,47.872497656682846,47.872497656682846,47.872497656682846,47.872497656682846,Poor
male,group E,some high school,standard,none,62.19402777142584,62.19402777142584,62.19402777142584,62.19402777142583,Average
female,group B,high school,free/reduced,completed,67.37094755524734,67.37094755524734,67.37094755524734,67.37094755524734,Average
female,group D,some college,free/reduced,none,66.50536366942283,66.50536366942283,66.50536366942283,66.50536366942283,Average
male,group D,some college,standard,completed,75.94364164209615,75.94364164209615,75.94364164209615,75.94364164209615,Good
female,group D,some high school,standard,completed,82.36457481573783,82.36457481573783,82.36457481573783,82.36457481573783,Excellent
male,group D,high school,standard,none,61.42436541039268,61.42436541039268,61.42436541039268,61.42436541039268,Average
male,group D,bachelor's degree,free/reduced,none,62.58393215360849,62.58393215360849,62.58393215360849,62.58393215360849,Average
female,group D,some high school,standard,none,72.17717342676667,72.17717342676667,72.17717342676667,72.17717342676667,Good
female,group D,associate's degree,free/reduced,none,67.67990925946161,67.67990925946161,67.67990925946161,67.67990925946161,Average
male,group C,master's degree,standard,none,66.28198516795135,66.28198516795135,66.28198516795135,66.28198516795135,Average
female,group C,bachelor's degree,free/reduced,completed,78.71218678813256,78.71218678813256,78.71218678813256,78.71218678813256,Good
female,group C,some college,free/reduced,completed,73.25105290043814,73.25105290043814,73.25105290043814,73.25105290043814,Good
female,group C,high school,free/reduced,none,58.73177666873465,58.73177666873465,58.73177666873465,58.73177666873465,Below Average
male,group D,some high school,free/reduced,completed,64.34856742501812,64.34856742501812,64.34856742501812,64.34856742501812,Average
male,group D,associate's degree,standard,none,66.93078584316379,66.93078584316379,66.93078584316379,66.93078584316379,Average
male,group D,bachelor's degree,standard,completed,81.40477552979058,81.40477552979058,81.40477552979058,81.40477552979058,Excellent
female,group C,associate's degree,standard,none,72.8716390887167,72.8716390887167,72.8716390887167,72.8716390887167,Good
female,group A,high school,free/reduced,completed,67.44246444916276,67.44246444916276,67.44246444916276,67.44246444916276,Average
female,group D,some college,free/reduced,none,66.50536366942283,66.50536366942283,66.50536366942283,66.50536366942283,Average
male,group B,some college,standard,none,60.7662975927107,60.7662975927107,60.7662975927107,60.76629759271069,Average
male,group D,some college,standard,completed,75.94364164209615,75.94364164209615,75.94364164209615,75.94364164209615,Good
